onset	duration	trial_type	stim_file	real_time
0.22046054201200604	3.5357566247694194	attention_getter		15:18:00:168466
3.78016358288005	3.019897833932191	shoppingcart	shoppingcart1.png	15:18:03:728120
6.815568374935538	1.3227230422198772	fixation	none	15:18:06:763459
8.143108792137355	3.0041333748959005	fence	fence1.png	15:18:08:090957
11.151087374892086	0.516168000176549	fixation	none	15:18:11:098878
11.671728207729757	3.0165392090566456	crab	crab2.png	15:18:11:619506
14.692055666819215	0.9425013749860227	fixation	none	15:18:14:639776
15.639017832931131	3.00884100003168	seabird	seabird1.png	15:18:15:586717
18.653862500097603	0.803321291692555	fixation	none	15:18:18:601503
19.461627583019435	3.009524959139526	towel	towel1.png	15:18:19:409250
22.474883874878287	1.2523576668463647	fixation	none	15:18:22:422448
23.731728916987777	3.0009739161469042	cat	cat2.png	15:18:23:679267
26.736717666964978	1.2343864580616355	fixation	none	15:18:26:684203
27.97599395783618	3.001667625270784	dishware	dishware1.png	15:18:27:923447
30.981557792052627	0.7395963747985661	fixation	none	15:18:30:928955
31.725910250097513	3.0171814169734716	food	food1.png	15:18:31:673289
34.74693841673434	1.301855041179806	fixation	none	15:18:34:694259
36.05640337476507	3.013730500359088	tree_	tree_3.png	15:18:36:003700
39.07428391696885	1.1624225829727948	fixation	none	15:18:39:021520
40.24342304188758	3.0204255408607423	shelves	shelves1.png	15:18:40:190636
43.268579917028546	1.1362700001336634	fixation	none	15:18:43:215742
44.41386629175395	3.013045832980424	squirrel	squirrel1.png	15:18:44:361002
47.431447457987815	0.6145797497592866	fixation	none	15:18:47:378521
48.051190624944866	3.0197575418278575	rubberduck	rubberduck3.png	15:18:47:998245
51.07493424974382	0.6345759173855186	fixation	none	15:18:51:021930
51.71457154210657	3.0109053747728467	crab	crab1.png	15:18:51:661553
54.72925629187375	1.212490249890834	fixation	none	15:18:54:676183
55.947142417076975	3.0037547079846263	shoppingcart	shoppingcart3.png	15:18:55:894040
58.954737375024706	0.5133974580094218	fixation	none	15:18:58:901578
59.472932333126664	3.010082374792546	food	food3.png	15:18:59:419759
62.48691370803863	1.0845708339475095	fixation	none	15:19:02:433683
63.57678974978626	3.01499191718176	shelves	shelves2.png	15:19:03:523535
66.5962792080827	1.135454542003572	fixation	none	15:19:06:542984
67.73785962490365	3.01106125023216	seabird	seabird2.png	15:19:07:684524
70.75288879172876	1.0643823333084583	fixation	none	15:19:10:699496
71.82214675005525	3.0048244167119265	squirrel	squirrel2.png	15:19:11:768728
74.8309903331101	1.4109863745979965	fixation	none	15:19:14:777517
76.24697287473828	3.0244058752432466	fence	fence3.png	15:19:16:193466
79.27852195780724	1.0524367922917008	fixation	none	15:19:19:224957
80.33560533309355	3.0022754590027034	dishware	dishware3.png	15:19:20:282017
83.34206479182467	1.3023259160108864	fixation	none	15:19:23:288427
84.64897895790637	3.0222122920677066	towel	towel3.png	15:19:24:595305
87.67730699991807	1.372492500115186	fixation	none	15:19:27:623576
89.05445612501353	3.0025447919033468	cat	cat1.png	15:19:29:000695
92.06082862475887	1.2925027082674205	fixation	none	15:19:32:007008
93.35853437473997	3.0020375000312924	tree_	tree_2.png	15:19:33:304689
96.36466533271596	0.5110313342884183	fixation	none	15:19:36:310760
96.88074483303353	3.0114191668108106	rubberduck	rubberduck1.png	15:19:36:826831
99.8961557499133	1.3328279578126967	fixation	none	15:19:39:842180
101.23395745782182	3.0112824589014053	tree_	tree_1.png	15:19:41:179954
104.24922124994919	0.9990176251158118	fixation	none	15:19:44:195158
105.2545417919755	3.0008580409921706	fence	fence2.png	15:19:45:200459
108.25976424990222	1.2719347919337451	fixation	none	15:19:48:205631
109.53755091689527	3.0020314580760896	shoppingcart	shoppingcart2.png	15:19:49:483384
112.54352391697466	1.3919732081703842	fixation	none	15:19:52:489296
113.94307929184288	3.0198867078870535	dishware	dishware2.png	15:19:53:888822
116.96681725000963	0.7791994577273726	fixation	none	15:19:56:912502
117.75197750004008	3.0082541666924953	towel	towel2.png	15:19:57:697645
120.76463695801795	0.7614231249317527	fixation	none	15:20:00:710250
121.53150445781648	3.010900666937232	cat	cat3.png	15:20:01:477097
124.54657495813444	0.852808874566108	fixation	none	15:20:04:492111
125.4050752078183	3.026304041966796	shelves	shelves3.png	15:20:05:350590
128.43807516712695	1.0675458326004446	fixation	none	15:20:08:383534
129.51208333298564	3.002937458921224	crab	crab3.png	15:20:09:457517
132.52168379211798	1.3046257910318673	fixation	none	15:20:12:467061
133.833656208124	3.0081388340331614	rubberduck	rubberduck2.png	15:20:13:779003
136.84807749977335	1.3715808331035078	fixation	none	15:20:16:793373
138.2271755831316	3.0063498336821795	food	food2.png	15:20:18:172442
141.239784500096	0.7596750827506185	fixation	none	15:20:21:184995
142.00618083309382	3.0128029589541256	squirrel	squirrel3.png	15:20:21:951369
145.02536354213953	0.51343216560781	fixation	none	15:20:24:970491
145.54500991711393	3.0130217908881605	seabird	seabird3.png	15:20:25:490130
148.56429750006646	0.9315413748845458	fixation	none	15:20:28:509359
149.5062201670371	3.0200767908245325	shoppingcart	shoppingcart1.png	15:20:29:451259
152.5326331667602	0.5803754581138492	fixation	none	15:20:32:477610
153.11935195792466	3.02406108379364	food	food1.png	15:20:33:064316
156.14939149981365	1.1895833751186728	fixation	none	15:20:36:094302
157.34959641704336	3.005926915910095	tree_	tree_2.png	15:20:37:294480
160.36142841679975	1.2326893750578165	fixation	none	15:20:40:306261
